0,0,0.086225744,0.172451489,-8.335302517,-8.162851028
0.000852174,0.002506266,-0.664325091,-1.328650181,-4.985786659,-6.31443684
0.001704348,0.005012531,-1.013833561,-2.027667122,-2.24740308,-4.275070202
0.002556522,0.007518797,-1.950459725,-3.90091945,0.782367455,-3.118551994
0.003408696,0.010025063,-3.225450093,-6.450900185,2.543669267,-3.907230919
0.00426087,0.012531328,-3.76357703,-7.52715406,3.005558205,-4.521595854
0.005113044,0.015037594,-4.011921114,-8.023842228,3.130869996,-4.892972233
0.005965218,0.01754386,-4.007996305,-8.015992611,3.206287251,-4.809705359
0.006817392,0.020050125,-3.980517836,-7.961035672,3.226568971,-4.734466701
0.007669566,0.022556391,-3.937168628,-7.874337257,3.226667141,-4.647670116
0.00852174,0.025062657,-3.87680828,-7.753616559,3.221021817,-4.532594743
0.009373914,0.027568922,-3.740219527,-7.480439054,3.211512504,-4.268926549
0.010226088,0.030075188,-3.705316119,-7.410632237,3.197768686,-4.212863551
0.011078262,0.032581454,-3.685214094,-7.370428189,3.179509089,-4.190919099
0.011930436,0.035087719,-3.665046797,-7.330093594,3.156458134,-4.17363546
0.01278261,0.037593985,-3.642601287,-7.285202574,3.128341399,-4.156861175
0.013634784,0.040100251,-3.623686881,-7.247373762,3.097378411,-4.14999535
0.014486958,0.042606516,-3.614122562,-7.228245123,3.015221536,-4.213023587
0.015339132,0.045112782,-3.613844887,-7.227689774,2.785237599,-4.442452175
0.016191307,0.047619048,-3.613854946,-7.227709891,2.550845668,-4.676864224
0.017043481,0.050125313,-3.613874197,-7.227748393,2.442080141,-4.785668252
0.017895655,0.052631579,-3.613903999,-7.227807998,2.428584858,-4.79922314
0.018747829,0.055137845,-3.613945711,-7.227891421,2.452278769,-4.775612652
0.019600003,0.05764411,-3.631505425,-7.26301085,2.545380027,-4.717630823
0.020452177,0.060150376,-3.677634171,-7.355268341,2.725067031,-4.63020131
0.021304351,0.062656642,-3.734214945,-7.468429889,2.84340324,-4.625026649
0.022156525,0.065162907,-3.816877271,-7.633754543,2.918026191,-4.715728352
0.023008699,0.067669173,-3.907387318,-7.814774637,2.989197266,-4.825577371
